event,datetime,lon,lat,depth,intensity,station_id,station_name,station_lon,station_lat,distance,az,pga_v,pga_ns,pga_ew,d,pga_max,pga
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,CHY,ChiayiCity,191784.77258924805,2599766.8185069016,73.88,142.15,1.03,4.15,4.15,74601.19838010805,4.15,5.958682740337835
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,ICHU,Yizhu,176387.0046118703,2584331.2911252514,74.85,125.36,1.21,4.3,4.3,75095.28845724379,4.3,6.200330636345129
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,EHY,Hongye,283703.29888258694,2599690.051044772,75.25,218.16,1.29,2.5,2.5,74600.15909697417,2.5,3.763522286369512
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,WHY,XinyiTownship,234703.57880082546,2621807.677913678,80.5,178.38,1.17,2.38,2.38,80896.86386860443,2.38,3.5633832238478083
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,SLIU,Shizi,229381.60835979972,2457929.257641614,83.79,5.39,1.32,2.05,2.05,83452.11125028499,2.05,3.18549839114698
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,WGK,Gukeng,206143.33390545996,2619650.8728341633,85.1,158.49,1.55,2.43,2.43,84775.23540542813,2.43,3.7699204235633412
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,WLC,Liuqiu,185111.2435964375,2472445.3082094765,86.39,37.04,1.89,1.81,1.89,86372.70725079653,1.89,3.228048946345145
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,WTK,Tuku,187789.0627401733,2620825.2634779047,93.84,147.95,1.08,2.96,2.96,94170.89410532302,2.96,4.323147001895725
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,WJS,Zhushan,222491.62584118723,2635115.0493025016,95.6,170.92,0.96,1.55,1.55,95368.64375835346,1.55,2.393031550147219
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,WSF,Sihu,171440.96721588855,2615366.7675887183,99.08,138.2,1.16,2.96,2.96,99625.05687618273,2.96,4.343823200822059
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,SML,SunMoonLake,240834.78274558816,2641736.4856542195,101.03,181.9,1.26,4.26,4.26,100819.19179701885,4.26,6.1549004866041495
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,WNT,Mingjian,218430.82286751538,2641768.144815505,102.19,169.46,0.74,1.48,1.48,102626.396710311,1.48,2.22
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,TYC,Yuchi,236764.4023047193,2645062.026218616,103.63,179.67,0.64,1.66,1.66,104100.0216245242,1.66,2.4332694055529487
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,WNT1,NantouCity,217419.97158558777,2645092.8152913786,105.71,169.1,1.01,1.26,1.26,106082.36095221323,1.26,2.048243149628481
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,ESL,Xilin,294832.08213291,2634050.9237001794,109.79,211.8,0.63,0.89,0.89,109221.45178007204,0.89,1.4075155416548693
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,OWD,Aowanda,268320.57698391436,2649497.46793791,113.32,195.71,0.62,1.49,1.49,112769.31819392812,1.49,2.1964972114710277
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,TWK1,Kenting,230373.88581275946,2426926.1285570227,114.15,3.19,0.51,0.77,0.77,114274.85215446251,0.77,1.2024558203942464
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,WTC,Dacheng,177684.2790531797,2639699.915136005,115.55,148.77,0.48,1.37,1.37,115541.05392245168,1.37,1.9960460916521945
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,WPL,Puli,244913.31274556805,2656131.5002121767,115.92,183.72,0.41,0.88,0.88,115391.27096691476,0.88,1.3103053079339944
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,SEB,Eluanbi,235534.62171896923,2422491.8367884387,118.35,1.01,1.59,2.94,2.94,118494.04482857592,2.94,4.45143796991489
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,WWF,Wufeng,219486.8678782688,2659485.564806816,120.22,171.34,0.69,1.55,1.55,119910.01597355228,1.55,2.29806440292695
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,LAY,Lanyu,307805.4573924474,2438091.884514692,124.85,325.77,0.26,1.69,1.69,124492.90165177122,1.69,2.4041214611579007
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,ETM,Tongmen,299865.3439983832,2651787.3438262157,127.06,209.76,0.8,0.92,0.92,127068.42295994922,0.92,1.5273506473629428
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,EYL,Yanliao,311092.7932948438,2644078.08310115,127.33,215.66,0.87,1.36,1.36,126566.91728235218,1.36,2.1109476544907504
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,TCU,TaichungCity,217480.4228425377,2671672.512960686,131.72,171.47,0.54,1.09,1.09,132260.38453719867,1.09,1.6333401360402555
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,HWA,HualienCity,312072.7542644263,2652942.4806326255,134.48,214.09,0.5,1.24,1.24,134427.02384889836,1.24,1.823513092906108
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,WHF,Hehuanshan,277440.5005203154,2670554.3087334028,136.17,197.31,0.83,2.12,2.12,135546.03033273507,2.12,3.110900191262973
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,WHP,Wushikeng,244923.98669740726,2686033.803515175,145.06,182.83,3.45,3.69,3.69,145247.59735187123,3.69,6.255773333489633
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,FUSS,Lishan,274370.6287985171,2682731.3270915076,146.45,194.87,0.82,3.02,3.02,146432.24452111882,3.02,4.3489309031071075
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,PNG,MagongCity,102998.8130809158,2608141.9546590718,149.55,116.18,0.14,0.68,0.68,150518.6530109825,0.68,0.9718024490605074
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,ETLH,Xibao,298756.7747790603,2678364.0973408236,150.35,204.3,0.77,1.84,1.84,150355.02105333572,1.84,2.7136875280695087
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,ETL,Taroko,313002.3806301754,2672882.3723930633,152.16,210.1,0.18,0.89,0.89,151897.87606219205,0.89,1.2714558584551805
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,TWQ1,Liyutan,226663.11329342116,2693804.8255073503,152.86,176.09,0.65,0.91,0.91,153236.33522993836,0.91,1.4417697458332244
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,WDJ,Dajia,213472.60452988176,2693832.8274737294,154.52,171.07,0.46,1.03,1.03,154773.95737564593,1.03,1.5275470532851025
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,NSY,Sanyi,226674.1246494367,2700450.020852147,160.38,176.14,0.43,0.94,0.94,159864.24125879008,0.94,1.397175722663402
